temperature,pressure,humidity,wind_direction,wind_speed,weather_condition
299.47,1012.0,95.0,177.0,1.0,rain
293.31,1016.0,94.0,270.0,1.0,rain
293.3,1004.0,91.0,274.0,2.0,rain
292.97,1015.0,97.0,288.0,1.0,rain
297.09,1007.0,58.0,175.0,0.0,rain
289.23,1020.0,87.0,252.0,1.0,rain
293.41,1014.0,69.0,157.0,0.0,rain
295.12,1011.0,95.0,207.0,3.0,rain
300.51,1013.0,85.0,234.0,2.0,rain
300.21,1012.0,66.0,224.0,1.0,rain
294.32,1013.0,78.0,289.0,0.0,rain
294.04,1002.0,85.0,264.0,2.0,rain
294.44,1014.0,72.0,211.0,0.0,rain
294.45,1014.0,72.0,240.0,1.0,rain
294.91,1014.0,70.0,234.0,0.0,rain
294.95,1013.0,70.0,271.0,1.0,rain
291.79,1012.0,93.0,232.0,0.0,rain
291.41,1012.0,93.0,237.0,1.0,rain
291.03,1012.0,93.0,242.0,2.0,rain
290.86,1011.0,93.0,255.0,1.0,rain
289.81,1012.0,91.0,284.0,1.0,rain
296.57,1013.0,52.0,292.0,4.0,rain
296.307333333,1023.0,74.0,134.0,1.0,rain
295.754666667,1028.0,78.0,153.0,2.0,rain
295.74,1019.0,55.0,139.0,0.0,rain
294.88,1018.0,81.0,107.0,1.0,rain
294.356333333,1022.0,85.0,121.0,1.0,rain
293.832666667,1027.0,89.0,136.0,2.0,rain
293.378666667,1026.0,92.0,172.0,2.0,rain
292.624333333,1022.0,91.0,169.0,2.0,rain
291.99,1008.0,89.0,165.0,3.0,rain
292.02,1019.0,98.0,141.0,3.0,rain
